# Rime user dictionary
#@/db_name	flypyzc
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	14676
#@/user_id	c792ea34-1dd4-48ec-97e0-503b03700865
a 	啊	c=14 d=1.00229 t=13717
aa 	阿	c=1 d=1 t=3144
aayi 	阿姨	c=19 d=3.46265 t=13856
ai 	爱	c=12 d=1.15949 t=13897
aik 	唉	c=3 d=1.00404 t=13949
an 	安	c=1 d=1 t=5546
anhv 	安徽	c=1 d=1 t=3706
anhw 	暗黑	c=1 d=1 t=5474
ano 	暗	c=1 d=1 t=14310
anpd 	安排	c=4 d=1.69073 t=11492
anqr 	安全	c=1 d=0.496585 t=14676
anvc 	按照	c=2 d=1.00527 t=14676
anvl 	安装	c=1 d=1 t=11059
anvo 	安卓	c=1 d=1 t=5555
anyi 	安逸	c=3 d=1.0008 t=12586
b 	不	c=180 d=3.65726 t=14676
ba 	把	c=20 d=1.53842 t=14676
baa 	鲅	c=2 d=1.93239 t=3057
bak 	吧	c=117 d=1.43373 t=14676
bav 	巴	c=2 d=1.97045 t=10301
bc 	报	c=1 d=1 t=3978
bcb 	包	c=2 d=0.00245644 t=14676
bcby 	宝	c=21 d=2.43904 t=13895
bccy 	保存	c=1 d=0.486752 t=14676
bcf 	抱	c=5 d=2.00569 t=12804
bcgc 	报告	c=1 d=0.647265 t=14676
bchu 	保护	c=1 d=0.818731 t=14676
bck 	包括	c=2 d=1.10087 t=14676
bcqm 	抱歉	c=1 d=1 t=2679
bctz 	包头	c=1 d=1 t=8675
bcxn 	报销	c=1 d=1 t=14525
bd 	白	c=2 d=0.625002 t=14676
bda 	百	c=9 d=1.89604 t=14676
bdtm 	白天	c=1 d=1 t=3608
bdxk 	百姓	c=1 d=1 t=5167
bf 	本	c=7 d=1.00142 t=13963
bfff 	本分	c=1 d=1 t=2557
bfld 	本来	c=3 d=1 t=14408
bfvi 	本质	c=1 d=1 t=4881
bh 	帮	c=2 d=0.00263181 t=14676
bhm 	棒	c=3 d=1.69429 t=9909
bhmh 	帮忙	c=1 d=0.00116504 t=14676
bhv 	帮助	c=1 d=0.305746 t=14676
bi 	比	c=1 d=0.0645703 t=14676
bidv 	比对	c=2 d=1.39946 t=14676
biji 	笔记	c=1 d=1 t=12258
bijk 	毕竟	c=2 d=1.08291 t=6888
bijn 	比较	c=7 d=1.19668 t=14676
bilv 	比率	c=1 d=0.0639279 t=14676
biru 	比如	c=4 d=1.30637 t=14676
biv 	笔	c=7 d=2.08522 t=14676
bixu 	必须	c=4 d=0.539054 t=14676
bjbf 	版本	c=5 d=0.0389686 t=14676
bjd 	半	c=2 d=1 t=10832
bjdg 	板凳	c=1 d=1 t=3189
bjf 	搬	c=2 d=1.00009 t=7446
bjfa 	办法	c=2 d=0.950121 t=14676
bjge 	半个	c=1 d=1 t=12458
bjgs 	办公	c=6 d=2.52843 t=14520
bjnm 	半年	c=1 d=0.918512 t=14676
bjp 	版	c=5 d=0.681843 t=14676
bjtm 	半天	c=1 d=1 t=14667
bjw 	班	c=3 d=1 t=14668
bjye 	半夜	c=1 d=1 t=14586
bk 	并	c=2 d=0.935785 t=14676
bkd 	冰	c=1 d=1 t=13658
bkgz 	并购	c=1 d=0.398519 t=14676
bkth 	冰糖	c=1 d=1 t=5433
bku 	饼	c=1 d=1 t=13078
bkxk 	并行	c=2 d=1.99501 t=3154
bm 	边	c=3 d=0.00118858 t=14676
bmhx 	变化	c=2 d=0.873716 t=14676
bmi 	编程	c=1 d=1 t=10094
bmig 	变成	c=1 d=1 t=6627
bmji 	编辑	c=1 d=0.99005 t=14676
bml 	辩	c=1 d=1 t=12041
bmll 	变量	c=10 d=1.85707 t=12938
bmw 	变	c=2 d=1 t=11218
bn 	表	c=9 d=1.35068 t=14676
bnji 	标记	c=1 d=0.597501 t=14676
bnm 	标	c=1 d=1 t=6325
bnmm 	表面	c=1 d=1 t=9358
bnqk 	表情	c=2 d=1 t=6230
bnui 	表示	c=1 d=1 t=12881
bnvu 	标注	c=1 d=0.23457 t=14676
bnvy 	标准	c=1 d=0.235746 t=14676
bnxm 	表现	c=4 d=1.59627 t=14676
bnyh 	表扬	c=1 d=1 t=10156
bod 	波	c=1 d=1 t=13005
bou 	博	c=3 d=1.97045 t=11061
boui 	博士	c=1 d=1 t=3180
bp 	别	c=2 d=1 t=7196
bprf 	别人	c=2 d=1 t=11700
bu 	部	c=1 d=0.196912 t=14676
buco 	不错	c=5 d=1 t=13566
budo 	不多	c=1 d=1 t=6599
buds 	不懂	c=1 d=1 t=4674
budv 	不对	c=3 d=1 t=11594
buff 	部分	c=3 d=0.477576 t=14676
bugj 	不敢	c=1 d=1 t=12676
bugo 	不过	c=9 d=1.01028 t=14000
buhv 	不会	c=1 d=1 t=5205
buji 	不急	c=2 d=1 t=10996
bull 	不良	c=2 d=1.08676 t=14676
bung 	不能	c=3 d=0.868128 t=14676
bunj 	不难	c=1 d=1 t=4636
burj 	不然	c=1 d=1 t=13460
buts 	不同	c=5 d=2.16837 t=14676
buu 	布	c=3 d=0.0665368 t=14676
buui 	不是	c=2 d=1.956 t=8011
buv 	步	c=11 d=1.97531 t=12955
buvh 	部长	c=3 d=1.76824 t=7056
buxk 	不行	c=3 d=1.00003 t=9853
buyc 	不要	c=2 d=0.0780817 t=14676
buys 	不用	c=2 d=1.89137 t=11902
bw 	背	c=1 d=0.995012 t=14676
bw 	被	c=14 d=3.95189 t=14676
bwda 	北大	c=1 d=1 t=3841
bwhz 	背后	c=1 d=1 t=6494
bwjk 	北京	c=5 d=0.00871202 t=14676
bwk 	呗	c=1 d=1 t=9052
bwkr 	贝	c=1 d=1 t=4314
bwm 	杯	c=1 d=1 t=5198
c 	才	c=1 d=1 t=7901
cd 	菜	c=2 d=1.00039 t=8859
cdc 	蔡	c=1 d=1 t=3874
cdij 	财产	c=1 d=0.778801 t=14676
cdji 	采集	c=1 d=0.481909 t=14676
cdjk 	财经	c=4 d=1.99501 t=11064
cdk 	财	c=1 d=1 t=6930
cdng 	才能	c=3 d=1 t=8587
cdp 	采	c=1 d=1 t=2934
cdwu 	财务	c=2 d=1.08134 t=14676
cdys 	采用	c=1 d=0.690734 t=14676
cdz 	踩	c=1 d=1 t=5620
cer 	侧	c=9 d=1.08484 t=14676
ceui 	测试	c=2 d=0.747711 t=14676
ci 	次	c=13 d=0.677057 t=14676
ciuu 	次数	c=1 d=3.37202e-06 t=14676
civ 	此	c=1 d=1 t=6922
cj 	参	c=4 d=1 t=12905
cjg 	餐馆	c=1 d=1 t=9002
cjkc 	参考	c=5 d=0.121928 t=14676
cjvc 	参照	c=2 d=0.409895 t=14676
cjx 	惨	c=1 d=1 t=3461
co 	错	c=6 d=1 t=13774
coti 	错题	c=1 d=1 t=7892
cowu 	错误	c=5 d=2.90362 t=13547
cs 	从	c=2 d=0.790571 t=14676
csmk 	聪明	c=1 d=1 t=13075
cu 	粗	c=1 d=1 t=9923
cur 	促	c=1 d=0.00137404 t=14676
cyzd 	存在	c=1 d=0.909373 t=14676
